"StateFIPS","State","Year","Value","Data Comment",,"Age Group""Gender"
"04","Arizona","2018","24","",,"0 TO 4""Male"
"04","Arizona","2018","6","",,"0 TO 4""Female"
"04","Arizona","2018","61","",,"5 TO 14""Male"
"04","Arizona","2018","43","",,"5 TO 14""Female"
"04","Arizona","2018","642","",,"15 TO 34""Male"
"04","Arizona","2018","265","",,"15 TO 34""Female"
"04","Arizona","2018","852","",,"35 TO 64""Male"
"04","Arizona","2018","336","",,"35 TO 64""Female"
"04","Arizona","2018","215","",,">= 65""Male"
"04","Arizona","2018","148","",,">= 65""Female"
"04","Arizona","2019","23","",,"0 TO 4""Male"
"04","Arizona","2019","12","",,"0 TO 4""Female"
"04","Arizona","2019","55","",,"5 TO 14""Male"
"04","Arizona","2019","48","",,"5 TO 14""Female"
"04","Arizona","2019","647","",,"15 TO 34""Male"
"04","Arizona","2019","236","",,"15 TO 34""Female"
"04","Arizona","2019","815","",,"35 TO 64""Male"
"04","Arizona","2019","364","",,"35 TO 64""Female"
"04","Arizona","2019","241","",,">= 65""Male"
"04","Arizona","2019","131","",,">= 65""Female"
"04","Arizona","2020","2","",,"0 TO 4""Male"
"04","Arizona","2020","8","",,"0 TO 4""Female"
"04","Arizona","2020","21","",,"5 TO 14""Male"
"04","Arizona","2020","20","",,"5 TO 14""Female"
"04","Arizona","2020","480","",,"15 TO 34""Male"
"04","Arizona","2020","164","",,"15 TO 34""Female"
"04","Arizona","2020","735","",,"35 TO 64""Male"
"04","Arizona","2020","260","",,"35 TO 64""Female"
"04","Arizona","2020","229","",,">= 65""Male"
"04","Arizona","2020","152","",,">= 65""Female"
"04","Arizona","2021","16","",,"0 TO 4""Male"
"04","Arizona","2021","11","",,"0 TO 4""Female"
"04","Arizona","2021","44","",,"5 TO 14""Male"
"04","Arizona","2021","37","",,"5 TO 14""Female"
"04","Arizona","2021","589","",,"15 TO 34""Male"
"04","Arizona","2021","233","",,"15 TO 34""Female"
"04","Arizona","2021","814","",,"35 TO 64""Male"
"04","Arizona","2021","306","",,"35 TO 64""Female"
"04","Arizona","2021","267","",,">= 65""Male"
"04","Arizona","2021","173","",,">= 65""Female"
"04","Arizona","2022","12","",,"0 TO 4""Male"
"04","Arizona","2022","10","",,"0 TO 4""Female"
"04","Arizona","2022","47","",,"5 TO 14""Male"
"04","Arizona","2022","39","",,"5 TO 14""Female"
"04","Arizona","2022","620","",,"15 TO 34""Male"
"04","Arizona","2022","219","",,"15 TO 34""Female"
"04","Arizona","2022","927","",,"35 TO 64""Male"
"04","Arizona","2022","371","",,"35 TO 64""Female"
"04","Arizona","2022","325","",,">= 65""Male"
"04","Arizona","2022","194","",,">= 65""Female"
"06","California","2018","61","",,"0 TO 4""Male"
"06","California","2018","33","",,"0 TO 4""Female"
"06","California","2018","207","",,"5 TO 14""Male"
"06","California","2018","146","",,"5 TO 14""Female"
"06","California","2018","1,289","",,"15 TO 34""Male"
"06","California","2018","547","",,"15 TO 34""Female"
"06","California","2018","1,677","",,"35 TO 64""Male"
"06","California","2018","857","",,"35 TO 64""Female"
"06","California","2018","805","",,">= 65""Male"
"06","California","2018","653","",,">= 65""Female"
"06","California","2019","45","",,"0 TO 4""Male"
"06","California","2019","32","",,"0 TO 4""Female"
"06","California","2019","189","",,"5 TO 14""Male"
"06","California","2019","147","",,"5 TO 14""Female"
"06","California","2019","1,054","",,"15 TO 34""Male"
"06","California","2019","503","",,"15 TO 34""Female"
"06","California","2019","1,508","",,"35 TO 64""Male"
"06","California","2019","724","",,"35 TO 64""Female"
"06","California","2019","651","",,">= 65""Male"
"06","California","2019","532","",,">= 65""Female"
"06","California","2020","19","",,"0 TO 4""Male"
"06","California","2020","10","",,"0 TO 4""Female"
"06","California","2020","45","",,"5 TO 14""Male"
"06","California","2020","43","",,"5 TO 14""Female"
"06","California","2020","1,023","",,"15 TO 34""Male"
"06","California","2020","413","",,"15 TO 34""Female"
"06","California","2020","1,644","",,"35 TO 64""Male"
"06","California","2020","701","",,"35 TO 64""Female"
"06","California","2020","690","",,">= 65""Male"
"06","California","2020","491","",,">= 65""Female"
"08","Colorado","2018","8","",,"0 TO 4""Male"
"08","Colorado","2018","5","",,"0 TO 4""Female"
"08","Colorado","2018","17","",,"5 TO 14""Male"
"08","Colorado","2018","13","",,"5 TO 14""Female"
"08","Colorado","2018","113","",,"15 TO 34""Male"
"08","Colorado","2018","52","",,"15 TO 34""Female"
"08","Colorado","2018","112","",,"35 TO 64""Male"
"08","Colorado","2018","66","",,"35 TO 64""Female"
"08","Colorado","2018","43","",,">= 65""Male"
"08","Colorado","2018","27","",,">= 65""Female"
"08","Colorado","2019","4","",,"0 TO 4""Male"
"08","Colorado","2019","3","",,"0 TO 4""Female"
"08","Colorado","2019","17","",,"5 TO 14""Male"
"08","Colorado","2019","10","",,"5 TO 14""Female"
"08","Colorado","2019","92","",,"15 TO 34""Male"
"08","Colorado","2019","45","",,"15 TO 34""Female"
"08","Colorado","2019","89","",,"35 TO 64""Male"
"08","Colorado","2019","70","",,"35 TO 64""Female"
"08","Colorado","2019","33","",,">= 65""Male"
"08","Colorado","2019","26","",,">= 65""Female"
"08","Colorado","2020","0","",,"0 TO 4""Male"
"08","Colorado","2020","1","",,"0 TO 4""Female"
"08","Colorado","2020","2","",,"5 TO 14""Male"
"08","Colorado","2020","8","",,"5 TO 14""Female"
"08","Colorado","2020","59","",,"15 TO 34""Male"
"08","Colorado","2020","31","",,"15 TO 34""Female"
"08","Colorado","2020","92","",,"35 TO 64""Male"
"08","Colorado","2020","39","",,"35 TO 64""Female"
"08","Colorado","2020","44","",,">= 65""Male"
"08","Colorado","2020","26","",,">= 65""Female"
"08","Colorado","2021","3","",,"0 TO 4""Male"
"08","Colorado","2021","3","",,"0 TO 4""Female"
"08","Colorado","2021","16","",,"5 TO 14""Male"
"08","Colorado","2021","11","",,"5 TO 14""Female"
"08","Colorado","2021","94","",,"15 TO 34""Male"
"08","Colorado","2021","52","",,"15 TO 34""Female"
"08","Colorado","2021","95","",,"35 TO 64""Male"
"08","Colorado","2021","60","",,"35 TO 64""Female"
"08","Colorado","2021","44","",,">= 65""Male"
"08","Colorado","2021","47","",,">= 65""Female"
"09","Connecticut","2018","2","",,"0 TO 4""Male"
"09","Connecticut","2018","2","",,"0 TO 4""Female"
"09","Connecticut","2018","18","",,"5 TO 14""Male"
"09","Connecticut","2018","18","",,"5 TO 14""Female"
"09","Connecticut","2018","132","",,"15 TO 34""Male"
"09","Connecticut","2018","49","",,"15 TO 34""Female"
"09","Connecticut","2018","159","",,"35 TO 64""Male"
"09","Connecticut","2018","79","",,"35 TO 64""Female"
"09","Connecticut","2018","55","",,">= 65""Male"
"09","Connecticut","2018","34","",,">= 65""Female"
"09","Connecticut","2019","5","",,"0 TO 4""Male"
