"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2018","30","",
"01","Alabama","2019","50","",
"01","Alabama","2020","20","",
"02","Alaska","2018","No Data","",
"02","Alaska","2019","No Data","",
"02","Alaska","2020","No Data","",
"04","Arizona","2018","80","",
"04","Arizona","2019","120","",
"04","Arizona","2020","170","",
"05","Arkansas","2018","30","",
"05","Arkansas","2019","130","",
"05","Arkansas","2020","40","",
"06","California","2018","280","",
"06","California","2019","400","",
"06","California","2020","240","",
"08","Colorado","2018","No Data","",
"08","Colorado","2019","No Data","",
"08","Colorado","2020","No Data","",
"09","Connecticut","2018","No Data","",
"09","Connecticut","2019","No Data","",
"09","Connecticut","2020","No Data","",
"10","Delaware","2018","20","",
"10","Delaware","2019","No Data","",
"10","Delaware","2020","No Data","",
"11","District of Columbia","2018","No Data","",
"11","District of Columbia","2019","No Data","",
"11","District of Columbia","2020","No Data","",
"12","Florida","2018","No Data","",
"12","Florida","2019","No Data","",
"12","Florida","2020","No Data","",
"13","Georgia","2018","60","",
"13","Georgia","2019","70","",
"13","Georgia","2020","No Data","",
"15","Hawaii","2018","No Data","",
"15","Hawaii","2019","No Data","",
"15","Hawaii","2020","No Data","",
"16","Idaho","2018","No Data","",
"16","Idaho","2019","No Data","",
"16","Idaho","2020","No Data","",
"17","Illinois","2018","80","",
"17","Illinois","2019","50","",
"17","Illinois","2020","50","",
"18","Indiana","2018","60","",
"18","Indiana","2019","60","",
"18","Indiana","2020","20","",
"19","Iowa","2018","30","",
"19","Iowa","2019","No Data","",
"19","Iowa","2020","60","",
"20","Kansas","2018","40","",
"20","Kansas","2019","50","",
"20","Kansas","2020","30","",
"21","Kentucky","2018","50","",
"21","Kentucky","2019","20","",
"21","Kentucky","2020","40","",
"22","Louisiana","2018","90","",
"22","Louisiana","2019","60","",
"22","Louisiana","2020","20","",
"23","Maine","2018","No Data","",
"23","Maine","2019","20","",
"23","Maine","2020","No Data","",
"24","Maryland","2018","130","",
"24","Maryland","2019","130","",
"24","Maryland","2020","40","",
"25","Massachusetts","2018","30","",
"25","Massachusetts","2019","30","",
"25","Massachusetts","2020","20","",
"26","Michigan","2018","40","",
"26","Michigan","2019","No Data","",
"26","Michigan","2020","20","",
"27","Minnesota","2018","20","",
"27","Minnesota","2019","30","",
"27","Minnesota","2020","60","",
"28","Mississippi","2018","No Data","",
"28","Mississippi","2019","No Data","",
"28","Mississippi","2020","No Data","",
"29","Missouri","2018","460","",
"29","Missouri","2019","40","",
"29","Missouri","2020","No Data","",
"30","Montana","2018","No Data","",
"30","Montana","2019","No Data","",
"30","Montana","2020","No Data","",
"31","Nebraska","2018","30","",
"31","Nebraska","2019","No Data","",
"31","Nebraska","2020","20","",
"32","Nevada","2018","No Data","",
"32","Nevada","2019","No Data","",
"32","Nevada","2020","20","",
"33","New Hampshire","2018","No Data","",
"33","New Hampshire","2019","No Data","",
"33","New Hampshire","2020","No Data","",
"34","New Jersey","2018","100","",
"34","New Jersey","2019","50","",
"34","New Jersey","2020","50","",
"35","New Mexico","2018","No Data","",
"35","New Mexico","2019","No Data","",
"35","New Mexico","2020","No Data","",
"36","New York","2018","250","",
"36","New York","2019","60","",
"36","New York","2020","90","",
"37","North Carolina","2018","120","",
"37","North Carolina","2019","90","",
"37","North Carolina","2020","120","",
"38","North Dakota","2018","No Data","",
"38","North Dakota","2019","No Data","",
"38","North Dakota","2020","No Data","",
"39","Ohio","2018","190","",
"39","Ohio","2019","20","",
"39","Ohio","2020","40","",
"40","Oklahoma","2018","No Data","",
"40","Oklahoma","2019","No Data","",
"40","Oklahoma","2020","60","",
"41","Oregon","2018","40","",
"41","Oregon","2019","No Data","",
"41","Oregon","2020","No Data","",
"42","Pennsylvania","2018","80","",
"42","Pennsylvania","2019","100","",
"42","Pennsylvania","2020","50","",
"44","Rhode Island","2018","No Data","",
"44","Rhode Island","2019","No Data","",
"44","Rhode Island","2020","No Data","",
"45","South Carolina","2018","70","",
"45","South Carolina","2019","110","",
"45","South Carolina","2020","20","",
"46","South Dakota","2018","No Data","",
"46","South Dakota","2019","No Data","",
"46","South Dakota","2020","No Data","",
"47","Tennessee","2018","70","",
"47","Tennessee","2019","140","",
"47","Tennessee","2020","380","",
"48","Texas","2018","270","",
"48","Texas","2019","350","",
"48","Texas","2020","170","",
"49","Utah","2018","No Data","",
"49","Utah","2019","No Data","",
"49","Utah","2020","No Data","",
"50","Vermont","2018","No Data","",
"50","Vermont","2019","No Data","",
"50","Vermont","2020","No Data","",
"51","Virginia","2018","110","",
"51","Virginia","2019","140","",
"51","Virginia","2020","120","",
"53","Washington","2018","20","",
"53","Washington","2019","No Data","",
"53","Washington","2020","30","",
"54","West Virginia","2018","No Data","",
"54","West Virginia","2019","No Data","",
"54","West Virginia","2020","No Data","",
"55","Wisconsin","2018","70","",
"55","Wisconsin","2019","20","",
"55","Wisconsin","2020","20","",
"56","Wyoming","2018","No Data","",
"56","Wyoming","2019","No Data","",
"56","Wyoming","2020","No Data","",
"66","Guam","2018","No Data","",
"66","Guam","2019","No Data","",
"66","Guam","2020","No Data","",
"72","Puerto Rico","2018","No Data","",
"72","Puerto Rico","2019","No Data","",
"72","Puerto Rico","2020","No Data","",
