StateFIPS,State,Year,Mortalities,Data Comment
1,Alabama,2018,16,
1,Alabama,2019,20,
1,Alabama,2020,15,
1,Alabama,2021,10,
2,Alaska,2018,Suppressed,
2,Alaska,2019,Suppressed,
2,Alaska,2020,Suppressed,
2,Alaska,2021,Suppressed,
4,Arizona,2018,187,
4,Arizona,2019,212,
4,Arizona,2020,373,
4,Arizona,2021,418,
5,Arkansas,2018,12,
5,Arkansas,2019,15,
5,Arkansas,2020,13,
5,Arkansas,2021,16,
6,California,2018,98,
6,California,2019,57,
6,California,2020,128,
6,California,2021,139,
8,Colorado,2018,Suppressed,
8,Colorado,2019,Suppressed,
8,Colorado,2020,11,
8,Colorado,2021,15,
9,Connecticut,2018,Suppressed,
9,Connecticut,2019,Suppressed,
9,Connecticut,2020,Suppressed,
9,Connecticut,2021,Suppressed,
10,Delaware,2018,Suppressed,
10,Delaware,2019,Suppressed,
10,Delaware,2020,Suppressed,
10,Delaware,2021,Suppressed,
11,District of Columbia,2018,0,
11,District of Columbia,2019,0,
11,District of Columbia,2020,Suppressed,
11,District of Columbia,2021,0,
12,Florida,2018,15,
12,Florida,2019,27,
12,Florida,2020,41,
12,Florida,2021,25,
13,Georgia,2018,Suppressed,
13,Georgia,2019,18,
13,Georgia,2020,20,
13,Georgia,2021,10,
15,Hawaii,2018,0,
15,Hawaii,2019,Suppressed,
15,Hawaii,2020,0,
15,Hawaii,2021,Suppressed,
16,Idaho,2018,Suppressed,
16,Idaho,2019,Suppressed,
16,Idaho,2020,Suppressed,
16,Idaho,2021,10,
17,Illinois,2018,15,
17,Illinois,2019,16,
17,Illinois,2020,Suppressed,
17,Illinois,2021,11,
18,Indiana,2018,12,
18,Indiana,2019,12,
18,Indiana,2020,Suppressed,
18,Indiana,2021,11,
19,Iowa,2018,Suppressed,
19,Iowa,2019,Suppressed,
19,Iowa,2020,Suppressed,
19,Iowa,2021,Suppressed,
20,Kansas,2018,Suppressed,
20,Kansas,2019,Suppressed,
20,Kansas,2020,Suppressed,
20,Kansas,2021,Suppressed,
21,Kentucky,2018,10,
21,Kentucky,2019,Suppressed,
21,Kentucky,2020,Suppressed,
21,Kentucky,2021,Suppressed,
22,Louisiana,2018,20,
22,Louisiana,2019,12,
22,Louisiana,2020,14,
22,Louisiana,2021,37,
23,Maine,2018,Suppressed,
23,Maine,2019,Suppressed,
23,Maine,2020,0,
23,Maine,2021,Suppressed,
24,Maryland,2018,30,
24,Maryland,2019,25,
24,Maryland,2020,28,
24,Maryland,2021,19,
25,Massachusetts,2018,Suppressed,
25,Massachusetts,2019,Suppressed,
25,Massachusetts,2020,Suppressed,
25,Massachusetts,2021,Suppressed,
26,Michigan,2018,10,
26,Michigan,2019,Suppressed,
26,Michigan,2020,12,
26,Michigan,2021,12,
27,Minnesota,2018,Suppressed,
27,Minnesota,2019,Suppressed,
27,Minnesota,2020,Suppressed,
27,Minnesota,2021,Suppressed,
28,Mississippi,2018,14,
28,Mississippi,2019,11,
28,Mississippi,2020,Suppressed,
28,Mississippi,2021,Suppressed,
29,Missouri,2018,25,
29,Missouri,2019,11,
29,Missouri,2020,Suppressed,
29,Missouri,2021,16,
30,Montana,2018,Suppressed,
30,Montana,2019,Suppressed,
30,Montana,2020,Suppressed,
30,Montana,2021,Suppressed,
31,Nebraska,2018,Suppressed,
31,Nebraska,2019,Suppressed,
31,Nebraska,2020,Suppressed,
31,Nebraska,2021,Suppressed,
32,Nevada,2018,150,
32,Nevada,2019,86,
32,Nevada,2020,100,
32,Nevada,2021,165,
33,New Hampshire,2018,0,
33,New Hampshire,2019,Suppressed,
33,New Hampshire,2020,Suppressed,
33,New Hampshire,2021,Suppressed,
34,New Jersey,2018,Suppressed,
34,New Jersey,2019,Suppressed,
34,New Jersey,2020,Suppressed,
34,New Jersey,2021,10,
35,New Mexico,2018,Suppressed,
35,New Mexico,2019,Suppressed,
35,New Mexico,2020,12,
35,New Mexico,2021,16,
36,New York,2018,17,
36,New York,2019,26,
36,New York,2020,13,
36,New York,2021,16,
37,North Carolina,2018,Suppressed,
37,North Carolina,2019,13,
37,North Carolina,2020,17,
37,North Carolina,2021,12,
38,North Dakota,2018,Suppressed,
38,North Dakota,2019,0,
38,North Dakota,2020,Suppressed,
38,North Dakota,2021,0,
39,Ohio,2018,18,
39,Ohio,2019,11,
39,Ohio,2020,19,
39,Ohio,2021,14,
40,Oklahoma,2018,Suppressed,
40,Oklahoma,2019,13,
40,Oklahoma,2020,14,
40,Oklahoma,2021,13,
41,Oregon,2018,Suppressed,
41,Oregon,2019,Suppressed,
41,Oregon,2020,Suppressed,
41,Oregon,2021,133,
42,Pennsylvania,2018,29,
42,Pennsylvania,2019,23,
42,Pennsylvania,2020,18,
42,Pennsylvania,2021,23,
44,Rhode Island,2018,Suppressed,
44,Rhode Island,2019,Suppressed,
